texto,categoria,urgencia
"llanta pinchada en mi garaje, el auto igual arranca",PINCHAZO_LLANTA,BAJO
"se prendio check engine pero el vehiculo sigue normal",FALLA_ELECTRICA,BAJO
"no enciende en parqueo del trabajo, bateria descargada",BATERIA_DESCARGADA,MEDIO
"direccion dura pero puedo avanzar despacio en avenida",FALLA_DIRECCION,MEDIO
"recalentamiento sin humo, tuve que detenerme",RECALENTAMIENTO_MOTOR,MEDIO
"choque en avenida, no hay heridos pero auto inmovilizado",COLISION_VISIBLE,ALTO
"olor fuerte a gasolina y goteo debajo del auto",FUGA_COMBUSTIBLE,ALTO
"frenos no responden en bajada",FALLA_FRENOS,ALTO
"vibracion leve al frenar en semaforo",FALLA_FRENOS,BAJO
"ruido metalico al girar a la derecha",FALLA_DIRECCION,MEDIO
"la bateria se descarga cada noche",BATERIA_DESCARGADA,MEDIO
"humo blanco ligero al arrancar en frio",RECALENTAMIENTO_MOTOR,BAJO
"motor tironea al acelerar en subida",FALLA_ELECTRICA,MEDIO
"pinche una llanta en calle urbana y pude orillarme",PINCHAZO_LLANTA,MEDIO
"fuga pequena de aceite en el garaje",FALLA_ELECTRICA,BAJO
"se apago el motor en carretera de noche",FALLA_ELECTRICA,ALTO
"colision por alcance sin lesionados",COLISION_VISIBLE,ALTO
"olor a quemado en tablero",FALLA_ELECTRICA,ALTO
"no arranca despues de cargar gasolina",FUGA_COMBUSTIBLE,MEDIO
"volante no vuelve al centro",FALLA_DIRECCION,MEDIO
"pedal de freno muy esponjoso",FALLA_FRENOS,ALTO
"ruido de llanta y perdida de aire lenta",PINCHAZO_LLANTA,BAJO
"temperatura sube al prender aire acondicionado",RECALENTAMIENTO_MOTOR,MEDIO
"sin luces delanteras de noche",FALLA_ELECTRICA,ALTO
"bateria nueva pero no sostiene carga",BATERIA_DESCARGADA,MEDIO
"fuga de gasolina cerca del tanque",FUGA_COMBUSTIBLE,ALTO
"impacto lateral en interseccion",COLISION_VISIBLE,ALTO
"dirección vibra a 80 km por hora",FALLA_DIRECCION,MEDIO
"el auto no frena en lluvia",FALLA_FRENOS,ALTO
"llanta baja al salir de casa",PINCHAZO_LLANTA,BAJO
"check engine intermitente por la manana",FALLA_ELECTRICA,BAJO
"recalentamiento con vapor en capot",RECALENTAMIENTO_MOTOR,ALTO
"fuga moderada de combustible y olor intenso",FUGA_COMBUSTIBLE,ALTO
"colision con poste en curva",COLISION_VISIBLE,ALTO
"direccion dura al estacionar",FALLA_DIRECCION,MEDIO
"frenos chillan pero responden",FALLA_FRENOS,BAJO
"bateria muerta tras dejar luces encendidas",BATERIA_DESCARGADA,MEDIO
"pinchazo con rin danado",PINCHAZO_LLANTA,MEDIO
"humo negro al acelerar fuerte",RECALENTAMIENTO_MOTOR,MEDIO
"cables sueltos en borne de bateria",BATERIA_DESCARGADA,BAJO
"choque frontal con derrame de liquidos",COLISION_VISIBLE,ALTO
"fuga de gasolina sin fuego en parqueo",FUGA_COMBUSTIBLE,ALTO
